ticket_id,summary,description,priority,issue_type,project,component,customer_tier,created_hours,channel,final_team,sla_breach,created_timestamp
70,MFA challenge is failing,the authentication flow stops before completion. The issue is currently affecting several users.,High,Access,Identity,Password Reset,Enterprise,31.33,Email,Security,Yes,2026-09-09T07:49:43.843607+00:00
71,Docking station disconnects,the device worked earlier in the day. The customer has already tried restarting the service.,Low,Hardware,Workplace IT,Monitor,Business,28.9,Email,L1-Hardware,Yes,2026-09-20T04:59:02.656014+00:00
72,Load balancer health checks failing,requests time out from the office network. This started after a recent configuration change.,Low,Network,Platform,WiFi,Standard,3.23,Portal,L2-Network,No,2026-08-26T02:47:12.505182+00:00
73,Password reset link is invalid,the account may have incorrect permissions. The issue is currently affecting several users.,Medium,Access,Identity,SSO,Enterprise,22.77,Jira,L1-General,Yes,2026-09-05T22:29:16.324086+00:00
74,DNS resolution failing for internal service,the service becomes unreachable every few minutes. The customer has already tried restarting the service.,Low,Network,Platform,VPN,Business,10.47,Email,L2-Network,No,2026-09-18T05:47:43.038836+00:00
75,Printer is unavailable,restarting the device did not resolve the problem. The support team has attached the latest logs.,Medium,Hardware,Workplace IT,Printer,Standard,29.56,Email,L1-Hardware,Yes,2026-09-06T11:02:33.770380+00:00
76,Load balancer health checks failing,users cannot stay connected to the corporate network. The support team has attached the latest logs.,Low,Network,Platform,DNS,Standard,24.36,Jira,L2-Network,No,2026-09-14T09:35:52.117477+00:00
77,SSO login returns access denied,the user receives an access denied response. The customer has already tried restarting the service.,Low,Access,Identity,IAM,Standard,12.53,Email,Security,Yes,2026-09-03T08:58:39.402024+00:00
78,Password reset link is invalid,login works for other accounts but not this user. The support team has attached the latest logs.,High,Access,Identity,IAM,Business,19.89,Chat,Security,Yes,2026-08-30T10:35:42.606297+00:00
79,Laptop will not power on,a replacement may be required if troubleshooting fails. The customer has already tried restarting the service.,Medium,Hardware,Workplace IT,Keyboard,Business,23.48,Email,L1-Hardware,Yes,2026-08-23T01:54:33.524220+00:00
80,Database queries are timing out,connections remain open after requests finish. The problem is reproducible from the production environment.,Medium,Database,Data Services,PostgreSQL,Standard,25.78,Email,L3-Database,Yes,2026-08-28T20:47:01.612470+00:00
81,Laptop will not power on,the issue affects a single employee workstation. The problem is reproducible from the production environment.,High,Hardware,Workplace IT,Dock,Standard,0.34,Chat,L1-Hardware,No,2026-09-12T19:39:40.227935+00:00
82,Docking station disconnects,the issue affects a single employee workstation. The support team has attached the latest logs.,Low,Hardware,Workplace IT,Monitor,Business,21.22,Chat,L1-Hardware,No,2026-09-18T07:59:40.804806+00:00
83,Database connection pool is exhausted,connections remain open after requests finish. The support team has attached the latest logs.,Medium,Database,Data Services,Backup,Business,26.68,Portal,L3-Database,Yes,2026-08-26T20:07:37.860574+00:00
84,External monitor is not detected,the peripheral is intermittently unavailable. The support team has attached the latest logs.,Medium,Hardware,Workplace IT,Monitor,Business,8.25,Chat,L1-Hardware,No,2026-09-17T08:03:16.613090+00:00
85,Search results fail to load,the same request succeeds after a retry. The issue is currently affecting several users.,Medium,Application,Customer Portal,API,Enterprise,19.86,Jira,L2-Application,Yes,2026-08-30T13:44:33.021355+00:00
86,Password reset link is invalid,the user receives an access denied response. The issue is currently affecting several users.,Low,Access,Identity,Password Reset,Business,29.73,Chat,Security,Yes,2026-09-16T15:06:48.937339+00:00
87,Password reset link is invalid,the user receives an access denied response. The issue is currently affecting several users.,Medium,Access,Identity,Password Reset,Business,18.6,Jira,Security,Yes,2026-08-30T15:30:05.349301+00:00
88,Docking station disconnects,a replacement may be required if troubleshooting fails. The problem is reproducible from the production environment.,Medium,Hardware,Workplace IT,Keyboard,Business,0.68,Email,L1-Hardware,No,2026-08-24T02:15:53.511026+00:00
89,Laptop will not power on,the issue affects a single employee workstation. The problem is reproducible from the production environment.,Medium,Hardware,Workplace IT,Keyboard,Business,7.91,Chat,L1-Hardware,No,2026-08-26T23:01:14.412656+00:00
90,Printer is unavailable,the issue affects a single employee workstation. The customer has already tried restarting the service.,Low,Hardware,Workplace IT,Laptop,Business,4.39,Portal,L1-Hardware,No,2026-09-01T07:16:32.678662+00:00
91,MFA challenge is failing,the user receives an access denied response. The customer has already tried restarting the service.,Low,Access,Identity,MFA,Business,27.47,Portal,Security,Yes,2026-09-17T09:28:03.959570+00:00
92,Search results fail to load,the UI shows an unexpected error message. The issue is currently affecting several users.,High,Application,Customer Portal,API,Standard,6.68,Portal,L2-Application,Yes,2026-09-06T09:25:54.157053+00:00
93,External monitor is not detected,the issue affects a single employee workstation. The customer has already tried restarting the service.,High,Hardware,Workplace IT,Dock,Standard,24.75,Chat,L1-Hardware,Yes,2026-09-18T12:58:23.496268+00:00
94,Backup job failed overnight,replica data is several minutes behind primary. The support team has attached the latest logs.,Medium,Database,Data Services,PostgreSQL,Enterprise,23.12,Jira,L3-Database,Yes,2026-09-07T15:25:10.232297+00:00
95,API requests return HTTP 500,customers are unable to complete the workflow. This started after a recent configuration change.,Low,Application,Customer Portal,Authentication,Standard,9.44,Portal,L2-Application,No,2026-09-09T10:24:54.477624+00:00
96,Unexpected permission change detected,the event should be reviewed for security impact. This started after a recent configuration change.,High,Access,Identity,SSO,Enterprise,11.63,Email,Security,Yes,2026-08-29T03:09:33.697959+00:00
97,Printer is unavailable,a replacement may be required if troubleshooting fails. This started after a recent configuration change.,Medium,Hardware,Workplace IT,Laptop,Enterprise,19.08,Chat,L1-Hardware,Yes,2026-09-12T13:30:24.313221+00:00
98,Notification jobs are delayed,the UI shows an unexpected error message. This started after a recent configuration change.,Medium,Application,Customer Portal,API,Standard,4.15,Jira,L2-Application,No,2026-09-02T08:30:47.349147+00:00
99,Database connection pool is exhausted,the scheduled backup did not complete successfully. The support team has attached the latest logs.,Medium,Database,Data Services,PostgreSQL,Enterprise,22.12,Chat,L3-Database,Yes,2026-09-09T04:50:47.968415+00:00
100,SSO login returns access denied,the authentication flow stops before completion. The customer has already tried restarting the service.,Medium,Access,Identity,Password Reset,Business,27.43,Portal,Security,Yes,2026-08-27T21:51:35.150637+00:00
101,Reports are running much slower,transactions are waiting longer than expected. This started after a recent configuration change.,Medium,Database,Data Services,PostgreSQL,Standard,19.55,Jira,L3-Database,Yes,2026-09-10T10:55:16.869406+00:00
102,MFA challenge is failing,login works for other accounts but not this user. The problem is reproducible from the production environment.,Medium,Access,Identity,MFA,Standard,2.26,Chat,Security,No,2026-08-23T07:50:09.363938+00:00
103,Load balancer health checks failing,packets appear to be dropped intermittently. The customer has already tried restarting the service.,Medium,Network,Platform,Load Balancer,Business,10.55,Portal,L2-Network,No,2026-08-30T12:55:13.882733+00:00
104,Load balancer health checks failing,connections fail after authentication. The customer has already tried restarting the service.,High,Network,Platform,VPN,Enterprise,5.1,Jira,L2-Network,Yes,2026-08-28T16:30:45.322771+00:00
105,SSO login returns access denied,login works for other accounts but not this user. The customer has already tried restarting the service.,High,Access,Identity,Password Reset,Enterprise,15.04,Chat,Security,Yes,2026-09-04T07:05:25.192726+00:00
106,Firewall blocks application traffic,connections fail after authentication. The support team has attached the latest logs.,Low,Network,Platform,Load Balancer,Standard,22.95,Email,L2-Network,No,2026-08-27T22:52:33.180525+00:00
107,Unexpected permission change detected,the event should be reviewed for security impact. The problem is reproducible from the production environment.,Low,Access,Identity,Permissions,Enterprise,7.56,Email,Security,No,2026-08-24T18:49:31.143347+00:00
108,SSO login returns access denied,the user receives an access denied response. The customer has already tried restarting the service.,Medium,Access,Identity,MFA,Business,13.34,Jira,Security,Yes,2026-09-14T13:09:15.237925+00:00
109,VPN connection drops repeatedly,packets appear to be dropped intermittently. The customer has already tried restarting the service.,Medium,Network,Platform,Load Balancer,Business,24.89,Email,L2-Network,Yes,2026-08-25T07:08:50.414457+00:00
110,Checkout returns an error,logs contain repeated server errors. This started after a recent configuration change.,Low,Application,Customer Portal,Notifications,Standard,21.25,Jira,L2-Application,No,2026-09-15T00:59:32.390527+00:00
111,User cannot access internal application,the event should be reviewed for security impact. This started after a recent configuration change.,Low,Access,Identity,Password Reset,Standard,28.78,Email,Security,Yes,2026-09-10T00:37:56.898202+00:00
112,Database connection pool is exhausted,replica data is several minutes behind primary. This started after a recent configuration change.,Medium,Database,Data Services,PostgreSQL,Enterprise,16.46,Jira,L3-Database,Yes,2026-09-11T04:08:51.245163+00:00
113,Password reset link is invalid,the authentication flow stops before completion. The problem is reproducible from the production environment.,Low,Access,Identity,MFA,Standard,34.98,Chat,Security,Yes,2026-09-11T15:33:21.552127+00:00
114,Load balancer health checks failing,users cannot stay connected to the corporate network. The customer has already tried restarting the service.,High,Network,Platform,WiFi,Enterprise,35.44,Chat,L2-Network,Yes,2026-09-17T13:37:04.332832+00:00
115,Printer is unavailable,a replacement may be required if troubleshooting fails. The problem is reproducible from the production environment.,High,Hardware,Workplace IT,Keyboard,Enterprise,1.73,Chat,L1-Hardware,Yes,2026-08-23T06:51:54.955644+00:00
116,Password reset link is invalid,login works for other accounts but not this user. The issue is currently affecting several users.,Low,Access,Identity,MFA,Enterprise,33.77,Portal,Security,Yes,2026-09-08T07:19:04.240838+00:00
117,Load balancer health checks failing,users cannot stay connected to the corporate network. The support team has attached the latest logs.,Medium,Network,Platform,VPN,Business,5.42,Jira,L2-Network,No,2026-08-23T22:03:47.031420+00:00
118,Firewall blocks application traffic,the service becomes unreachable every few minutes. The problem is reproducible from the production environment.,Low,Network,Platform,WiFi,Enterprise,10.16,Chat,L2-Network,No,2026-09-19T05:29:34.559919+00:00
119,Replication is lagging,the issue is affecting reporting and analytics. This started after a recent configuration change.,Low,Database,Data Services,MySQL,Business,6.62,Chat,L3-Database,No,2026-09-07T07:08:15.211144+00:00
120,Notification jobs are delayed,the same request succeeds after a retry. The issue is currently affecting several users.,Low,Application,Customer Portal,Search,Enterprise,19.66,Jira,L2-Application,Yes,2026-09-12T12:38:56.927560+00:00
121,API requests return HTTP 500,the application worked yesterday but now fails for multiple users. The problem is reproducible from the production environment.,Medium,Application,Customer Portal,Notifications,Business,26.68,Email,L2-Application,Yes,2026-08-29T17:27:01.019346+00:00
122,Backup job failed overnight,transactions are waiting longer than expected. This started after a recent configuration change.,Medium,Database,Data Services,Backup,Business,30.79,Jira,L3-Database,Yes,2026-09-01T10:57:52.287630+00:00
123,SSO login returns access denied,the event should be reviewed for security impact. The issue is currently affecting several users.,Medium,Access,Identity,SSO,Standard,15.65,Portal,Security,Yes,2026-08-30T19:18:58.805053+00:00
124,Intermittent network connectivity,requests time out from the office network. The issue is currently affecting several users.,Medium,Network,Platform,WiFi,Business,32.92,Jira,L2-Network,Yes,2026-09-12T06:35:56.184105+00:00
125,Search results fail to load,the UI shows an unexpected error message. The support team has attached the latest logs.,Medium,Application,Customer Portal,Notifications,Enterprise,35.42,Jira,L2-Application,Yes,2026-09-03T21:29:01.260458+00:00
126,Backup job failed overnight,transactions are waiting longer than expected. The issue is currently affecting several users.,Medium,Database,Data Services,MySQL,Enterprise,13.46,Portal,L3-Database,Yes,2026-09-03T14:33:30.655863+00:00
127,DNS resolution failing for internal service,the service becomes unreachable every few minutes. The customer has already tried restarting the service.,High,Network,Platform,VPN,Enterprise,0.95,Portal,L2-Application,Yes,2026-09-07T01:41:05.273763+00:00
128,Application page shows a blank screen,logs contain repeated server errors. The problem is reproducible from the production environment.,High,Application,Customer Portal,API,Standard,34.94,Chat,L2-Network,Yes,2026-09-11T00:39:21.234494+00:00
129,SSO login returns access denied,the account may have incorrect permissions. The customer has already tried restarting the service.,Medium,Access,Identity,SSO,Standard,32.35,Email,Security,Yes,2026-09-17T23:24:22.268508+00:00
130,VPN connection drops repeatedly,users cannot stay connected to the corporate network. This started after a recent configuration change.,Low,Network,Platform,WiFi,Standard,0.4,Chat,L2-Network,No,2026-09-08T16:18:17.288689+00:00
131,VPN connection drops repeatedly,requests time out from the office network. This started after a recent configuration change.,High,Network,Platform,DNS,Standard,6.58,Chat,L2-Network,No,2026-08-21T10:22:21.061428+00:00
132,User cannot access internal application,the event should be reviewed for security impact. The support team has attached the latest logs.,Low,Access,Identity,SSO,Business,17.19,Email,Security,Yes,2026-09-15T04:22:43.694096+00:00
133,Checkout returns an error,the same request succeeds after a retry. The problem is reproducible from the production environment.,Medium,Application,Customer Portal,API,Business,17.79,Chat,L2-Application,Yes,2026-09-17T08:35:43.885299+00:00
134,Intermittent network connectivity,packets appear to be dropped intermittently. The issue is currently affecting several users.,Medium,Network,Platform,VPN,Business,21.65,Chat,L2-Network,Yes,2026-08-31T10:11:57.828987+00:00
135,Database connection pool is exhausted,transactions are waiting longer than expected. The support team has attached the latest logs.,Medium,Database,Data Services,Query Engine,Business,14.35,Email,L3-Database,Yes,2026-09-05T10:19:59.886090+00:00
136,Database connection pool is exhausted,the issue is affecting reporting and analytics. The customer has already tried restarting the service.,Medium,Database,Data Services,MySQL,Enterprise,5.15,Chat,L3-Database,Yes,2026-08-30T04:38:33.988356+00:00
137,Backup job failed overnight,replica data is several minutes behind primary. The issue is currently affecting several users.,Low,Database,Data Services,Backup,Enterprise,29.26,Email,L3-Database,Yes,2026-08-27T14:25:25.326258+00:00
138,DNS resolution failing for internal service,the service becomes unreachable every few minutes. The problem is reproducible from the production environment.,Medium,Network,Platform,WiFi,Business,1.17,Chat,L2-Network,No,2026-09-13T16:05:39.449402+00:00
139,DNS resolution failing for internal service,users cannot stay connected to the corporate network. The support team has attached the latest logs.,High,Network,Platform,Load Balancer,Standard,2.36,Chat,L2-Network,No,2026-09-04T18:04:42.126551+00:00
140,VPN connection drops repeatedly,connections fail after authentication. The issue is currently affecting several users.,Low,Network,Platform,Firewall,Standard,2.15,Email,L2-Network,No,2026-09-16T02:01:52.205410+00:00
141,User cannot access internal application,the account may have incorrect permissions. The issue is currently affecting several users.,Medium,Access,Identity,Permissions,Business,33.89,Email,Security,Yes,2026-09-19T09:29:22.278730+00:00
142,Firewall blocks application traffic,users cannot stay connected to the corporate network. The problem is reproducible from the production environment.,Medium,Network,Platform,Load Balancer,Business,3.56,Portal,L2-Network,No,2026-09-06T16:47:52.220623+00:00
143,Search results fail to load,customers are unable to complete the workflow. The support team has attached the latest logs.,Low,Application,Customer Portal,API,Business,21.73,Chat,L2-Application,Yes,2026-09-05T15:49:20.640652+00:00
144,Database queries are timing out,replica data is several minutes behind primary. This started after a recent configuration change.,High,Database,Data Services,PostgreSQL,Standard,4.47,Chat,L3-Database,Yes,2026-08-25T01:11:44.015665+00:00
